SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
101,4.096,8,10,DSR,7.5
102,7.168,14,10,DSR,7.5
103,6.144,12,10,DSR,7.5
104,5.632,11,10,DSR,7.5
105,6.144,12,10,DSR,7.5
106,6.144,12,10,DSR,7.5
107,8.192,16,10,DSR,7.5
108,9.216,18,10,DSR,7.5
109,9.728,19,10,DSR,7.5
110,12.8,25,10,DSR,7.5
111,8.704,17,10,DSR,7.5
112,8.192,16,10,DSR,7.5
113,8.192,16,10,DSR,7.5
114,8.192,16,10,DSR,7.5
115,8.704,17,10,DSR,7.5
116,7.168,14,10,DSR,7.5
117,6.656,13,10,DSR,7.5
118,6.144,12,10,DSR,7.5
119,5.12,10,10,DSR,7.5
120,4.608,9,10,DSR,7.5
121,6.144,12,10,DSR,7.5
122,6.144,12,10,DSR,7.5
123,6.144,12,10,DSR,7.5
124,6.144,12,10,DSR,7.5
125,5.12,10,10,DSR,7.5
126,5.12,10,10,DSR,7.5
127,4.608,9,10,DSR,7.5
128,4.096,8,10,DSR,7.5
129,4.096,8,10,DSR,7.5
130,4.096,8,10,DSR,7.5
131,4.096,8,10,DSR,7.5
132,2.56,5,10,DSR,7.5
133,2.048,4,10,DSR,7.5
134,3.072,6,10,DSR,7.5
135,4.096,8,10,DSR,7.5
136,2.048,4,10,DSR,7.5
137,2.048,4,10,DSR,7.5
138,2.048,4,10,DSR,7.5
139,2.048,4,10,DSR,7.5
140,1.536,3,10,DSR,7.5
141,2.048,4,10,DSR,7.5
142,2.56,5,10,DSR,7.5
143,3.584,7,10,DSR,7.5
144,4.096,8,10,DSR,7.5
145,4.096,8,10,DSR,7.5
146,4.096,8,10,DSR,7.5
147,2.56,5,10,DSR,7.5
148,4.096,8,10,DSR,7.5
149,3.072,6,10,DSR,7.5
150,4.608,9,10,DSR,7.5
151,4.096,8,10,DSR,7.5
152,4.096,8,10,DSR,7.5
153,4.096,8,10,DSR,7.5
154,3.584,7,10,DSR,7.5
155,2.048,4,10,DSR,7.5
156,2.048,4,10,DSR,7.5
157,2.048,4,10,DSR,7.5
158,2.56,5,10,DSR,7.5
159,2.56,5,10,DSR,7.5
160,4.608,9,10,DSR,7.5
161,4.096,8,10,DSR,7.5
162,4.096,8,10,DSR,7.5
163,4.096,8,10,DSR,7.5
164,4.096,8,10,DSR,7.5
165,3.584,7,10,DSR,7.5
166,2.56,5,10,DSR,7.5
167,3.072,6,10,DSR,7.5
168,2.048,4,10,DSR,7.5
169,2.048,4,10,DSR,7.5
170,2.048,4,10,DSR,7.5
171,2.048,4,10,DSR,7.5
172,2.048,4,10,DSR,7.5
173,2.048,4,10,DSR,7.5
174,2.048,4,10,DSR,7.5
175,2.048,4,10,DSR,7.5
176,2.048,4,10,DSR,7.5
177,2.048,4,10,DSR,7.5
178,2.048,4,10,DSR,7.5
179,2.048,4,10,DSR,7.5
180,2.048,4,10,DSR,7.5
181,2.048,4,10,DSR,7.5
182,2.048,4,10,DSR,7.5
183,2.048,4,10,DSR,7.5
184,2.048,4,10,DSR,7.5
185,2.048,4,10,DSR,7.5
186,2.048,4,10,DSR,7.5
187,2.048,4,10,DSR,7.5
188,0,0,10,DSR,7.5
189,0.512,1,10,DSR,7.5
190,2.048,4,10,DSR,7.5
191,2.048,4,10,DSR,7.5
192,2.048,4,10,DSR,7.5
193,2.048,4,10,DSR,7.5
194,2.048,4,10,DSR,7.5
195,2.048,4,10,DSR,7.5
196,2.048,4,10,DSR,7.5
197,2.048,4,10,DSR,7.5
198,3.072,6,10,DSR,7.5
199,4.096,8,10,DSR,7.5
